id,name,description,tags,category,city,lat,lon,price_pkr,rating,availability,images,owner_id
poi003,Lahore Fort,Massive Mughal era fortress complex containing palaces museums halls of audience and the famous Sheesh Mahal (Palace of Mirrors). UNESCO World Heritage Site,fort;heritage;unesco;historic;mughal;museum,attraction,Lahore,31.5880,74.3154,200,9.4,true,fort1.jpg;fort2.jpg;fort3.jpg,owner011
poi004,Food Street Gawalmandi,Famous traditional food street offering authentic Lahori cuisine including nihari karahi kebabs and traditional sweets. Vibrant atmosphere especially at night,food;restaurant;local;culture;street-food;nightlife,restaurant,Lahore,31.5656,74.3242,500,8.7,true,food1.jpg;food2.jpg,owner012
poi005,Packages Mall,Modern shopping and entertainment complex featuring international brands cinema multiplex food court kids play area and ample parking,shopping;entertainment;mall;cinema;food-court;parking,shopping,Lahore,31.4697,74.2658,0,8.5,true,mall1.jpg;mall2.jpg,owner013
poi006,Lahore Museum,Largest and oldest museum in Pakistan showcasing Gandhara art Mughal artifacts ancient manuscripts and the famous Fasting Buddha statue. Rich cultural heritage,museum;culture;history;art;heritage;educational,attraction,Lahore,31.5658,74.3103,200,9.0,true,museum1.jpg;museum2.jpg,owner014
poi007,Minar-e-Pakistan,National monument commemorating Pakistan independence built at site of 1940 Lahore Resolution. 70-meter tower with observation deck offering panoramic city views,monument;historic;patriotic;landmark;viewpoint,attraction,Lahore,31.5925,74.3095,100,8.9,true,minar1.jpg;minar2.jpg,owner015
poi008,Emporium Mall,Mega shopping destination with luxury brands entertainment zone rooftop dining restaurants cinema and indoor theme park. Family entertainment hub,shopping;entertainment;mall;cinema;food-court;theme-park,shopping,Lahore,31.4682,74.2639,0,8.8,true,emporium1.jpg;emporium2.jpg,owner016
poi009,Wazir Khan Mosque,Stunning 17th century mosque famous for intricate tile work calligraphy and frescoes. Located in Walled City showcasing finest Mughal architecture,heritage;historic;architecture;culture;mughal;religious,attraction,Lahore,31.5820,74.3147,0,9.2,true,wazir1.jpg;wazir2.jpg,owner017
poi010,Jilani Park (Race Course Park),Large urban park with boating lake jogging tracks children playground sports facilities and green spaces. Perfect for family picnics and outdoor activities,park;nature;recreation;family;outdoor;sports,attraction,Lahore,31.5043,74.3354,50,8.3,true,park1.jpg;park2.jpg,owner018
poi011,Lahore Zoo,Historic zoo established 1872 housing diverse wildlife including Bengal tigers African lions elephants and exotic birds. Educational and family-friendly,zoo;wildlife;family;educational;nature,attraction,Lahore,31.5657,74.3103,150,8.1,true,zoo1.jpg;zoo2.jpg,owner019
poi012,Cuckoo's Den Restaurant,Rooftop restaurant in old Haveli overlooking Badshahi Mosque serving traditional Pakistani cuisine in historic ambiance. Popular for cultural experience,restaurant;traditional;rooftop;cultural;heritage,restaurant,Lahore,31.5881,74.3090,1200,9.0,true,cuckoo1.jpg;cuckoo2.jpg,owner020
poi013,Liberty Market,Popular shopping district offering clothing jewelry electronics street food and local handicrafts. Bustling atmosphere with traditional bazaar experience,shopping;market;local;handicrafts;street-food,shopping,Lahore,31.5204,74.3436,0,8.4,true,liberty1.jpg,owner021
poi014,Anarkali Bazaar,Historic bazaar dating back Mughal era offering traditional clothing jewelry handicrafts fabrics and street food. Authentic shopping experience,shopping;market;local;historic;handicrafts;traditional,shopping,Lahore,31.5656,74.3242,0,8.6,true,anarkali1.jpg,owner022
poi015,Lotus Lake Park,Scenic lake park with walking trails paddle boats picnic spots and lotus flowers. Peaceful retreat from city hustle ideal for evening strolls,park;nature;lake;peaceful;recreation;family,attraction,Lahore,31.4697,74.2658,50,8.2,true,lotus1.jpg,owner023
